            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.1 Median weekly earnings for employees by sex, state and full-time or part-time, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,$,$,$,$,$,$,$,$,$
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2004, 811.4 , 800.0 , 750.0 , 750.0 , 800.0 , 730.9 , 850.0 , 958.0 , 800.0 
2005, 865.0 , 848.0 , 800.0 , 800.0 , 850.0 , 750.0 , 850.0 ," 1,000.0 ", 840.0 
2006, 900.0 , 896.7 , 849.4 , 850.0 , 900.0 , 807.0 , 900.0 ," 1,060.7 ", 900.0 
2007, 957.6 , 923.2 , 900.0 , 900.0 ," 1,000.0 ", 807.5 , 964.8 ," 1,200.0 ", 930.0 
2008," 1,000.0 ", 958.0 , 961.0 , 900.0 ," 1,054.0 ", 866.8 ," 1,000.0 "," 1,194.7 ", 995.6 
2009," 1,025.6 "," 1,000.0 "," 1,000.0 ", 966.1 ," 1,100.0 ", 925.4 ," 1,100.0 "," 1,230.7 "," 1,000.0 "
2010," 1,078.6 "," 1,005.0 "," 1,023.7 ", 995.0 ," 1,200.0 ", 950.0 ," 1,100.0 "," 1,250.0 "," 1,050.0 "
2011," 1,100.0 "," 1,050.0 "," 1,100.0 "," 1,000.0 "," 1,200.0 "," 1,000.0 "," 1,129.6 "," 1,269.2 "," 1,100.0 "
2012," 1,150.0 "," 1,100.0 "," 1,117.3 "," 1,080.0 "," 1,300.0 "," 1,006.6 "," 1,200.0 "," 1,384.3 "," 1,150.0 "
2013," 1,157.0 "," 1,100.0 "," 1,140.0 "," 1,100.0 "," 1,300.0 "," 1,015.5 "," 1,300.0 "," 1,425.0 "," 1,150.0 "
2014," 1,250.0 "," 1,173.2 "," 1,200.0 "," 1,140.0 "," 1,411.2 "," 1,058.0 "," 1,400.0 "," 1,461.4 "," 1,208.0 "
2015," 1,250.0 "," 1,200.0 "," 1,200.0 "," 1,182.6 "," 1,350.0 "," 1,100.0 "," 1,267.0 "," 1,500.0 "," 1,232.7 "
2016," 1,250.0 "," 1,246.0 "," 1,200.0 "," 1,200.0 "," 1,400.0 "," 1,150.0 "," 1,384.5 "," 1,498.1 "," 1,250.0 "
2017," 1,281.0 "," 1,250.0 "," 1,250.0 "," 1,199.1 "," 1,422.0 "," 1,188.1 "," 1,400.0 "," 1,500.0 "," 1,281.0 "
2018," 1,357.0 "," 1,300.0 "," 1,300.0 "," 1,242.5 "," 1,495.5 "," 1,207.6 "," 1,372.3 "," 1,531.8 "," 1,342.0 "
2019," 1,400.0 "," 1,339.0 "," 1,301.4 "," 1,251.3 "," 1,500.0 "," 1,273.0 "," 1,454.2 "," 1,553.3 "," 1,376.0 "
2020," 1,426.0 "," 1,430.0 "," 1,344.9 "," 1,290.3 "," 1,634.0 "," 1,300.0 "," 1,500.0 "," 1,650.5 "," 1,435.0 "
2021," 1,500.0 "," 1,482.8 "," 1,400.0 "," 1,393.0 "," 1,577.8 "," 1,286.1 "," 1,591.2 "," 1,753.1 "," 1,499.0 "
Part-time in main job,,,,,,,,,
2004, 314.6 , 285.0 , 300.0 , 300.0 , 270.4 , 300.0 , 310.0 , 317.0 , 300.0 
2005, 310.0 , 300.0 , 310.0 , 308.8 , 300.0 , 300.0 , 302.0 , 315.0 , 300.0 
2006, 325.3 , 310.0 , 330.0 , 312.8 , 300.0 , 321.5 , 375.2 , 340.0 , 320.0 
2007, 350.0 , 330.0 , 340.0 , 350.0 , 350.0 , 350.0 , 380.0 , 350.0 , 350.0 
2008, 376.0 , 348.0 , 357.5 , 358.6 , 325.0 , 360.7 , 350.0 , 347.9 , 356.2 
2009, 375.4 , 349.4 , 400.0 , 382.1 , 360.0 , 420.0 , 416.1 , 388.5 , 375.0 
2010, 400.0 , 360.0 , 400.0 , 400.0 , 382.0 , 384.0 , 450.0 , 450.0 , 400.0 
2011, 400.2 , 380.0 , 420.0 , 420.0 , 400.0 , 400.0 , 450.0 , 480.0 , 400.0 
2012, 400.0 , 409.3 , 413.0 , 440.0 , 420.0 , 450.8 , 400.0 , 458.7 , 417.0 
2013, 426.0 , 410.0 , 450.0 , 450.0 , 440.0 , 440.7 , 500.0 , 500.0 , 432.8 
2014, 476.4 , 441.0 , 476.0 , 475.0 , 478.0 , 460.0 , 504.5 , 484.1 , 460.0 
2015, 480.0 , 467.0 , 500.0 , 500.0 , 479.0 , 465.4 , 500.0 , 509.8 , 483.0 
2016, 500.0 , 450.0 , 483.0 , 500.0 , 478.1 , 500.0 , 518.3 , 560.0 , 483.0 
2017, 500.0 , 481.3 , 520.0 , 510.0 , 500.0 , 511.9 , 500.0 , 506.3 , 500.0 
2018, 527.5 , 540.0 , 500.0 , 550.0 , 525.0 , 539.8 , 500.0 , 537.4 , 525.0 
2019, 550.0 , 511.4 , 550.0 , 536.0 , 579.0 , 548.0 , 599.1 , 561.8 , 548.0 
2020, 672.5 , 675.0 , 654.0 , 654.9 , 660.0 , 687.4 , 600.0 , 699.3 , 671.0 
2021, 600.0 , 590.1 , 600.0 , 600.0 , 600.0 , 600.0 , 606.5 , 700.0 , 600.0 
Total,,,,,,,,,
2004, 692.0 , 650.0 , 645.0 , 636.7 , 650.0 , 600.0 , 771.0 , 800.0 , 651.0 
2005, 700.0 , 700.0 , 671.0 , 670.0 , 700.0 , 607.0 , 750.0 , 825.0 , 700.0 
2006, 750.0 , 722.0 , 700.0 , 700.0 , 723.4 , 650.0 , 800.0 , 920.0 , 730.0 
2007, 780.0 , 758.7 , 750.0 , 720.0 , 800.0 , 680.0 , 850.0 ," 1,000.0 ", 769.0 
2008, 825.0 , 795.7 , 800.0 , 750.0 , 889.1 , 720.0 , 900.0 ," 1,000.0 ", 800.0 
2009, 843.4 , 800.0 , 842.4 , 770.0 , 874.0 , 763.2 ," 1,000.0 "," 1,056.8 ", 830.0 
2010, 900.0 , 849.0 , 850.0 , 804.0 , 958.8 , 769.0 ," 1,000.0 "," 1,057.0 ", 866.0 
2011, 900.0 , 870.0 , 900.0 , 842.3 ," 1,000.0 ", 800.0 ," 1,000.0 "," 1,100.0 ", 900.0 
