            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.2 Median hourly earnings for employees by sex, state and full-time or part-time, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,$,$,$,$,$,$,$,$,$
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2004, 21.0 , 20.2 , 18.7 , 19.2 , 19.7 , 18.8 , 21.1 , 25.0 , 20.0 
2005, 21.6 , 21.2 , 20.0 , 20.0 , 20.9 , 19.6 , 20.8 , 25.1 , 21.0 
2006, 22.6 , 21.9 , 20.7 , 21.1 , 21.7 , 20.2 , 21.7 , 27.0 , 21.8 
2007, 23.7 , 22.8 , 22.1 , 22.2 , 23.6 , 20.3 , 24.2 , 30.7 , 22.9 
2008, 25.0 , 23.8 , 23.7 , 22.4 , 25.3 , 21.9 , 25.0 , 30.7 , 24.3 
2009, 25.7 , 25.0 , 24.9 , 24.4 , 26.3 , 23.8 , 27.4 , 32.5 , 25.0 
2010, 26.6 , 25.7 , 25.0 , 24.8 , 29.0 , 24.0 , 26.8 , 32.2 , 26.3 
2011, 27.8 , 26.3 , 26.7 , 25.6 , 29.8 , 25.0 , 27.6 , 32.9 , 27.4 
2012, 29.0 , 27.5 , 27.6 , 27.0 , 31.3 , 26.4 , 30.0 , 35.5 , 28.6 
2013, 29.2 , 27.7 , 27.8 , 27.6 , 31.3 , 26.3 , 32.3 , 37.3 , 28.9 
2014, 31.6 , 30.3 , 30.0 , 28.7 , 34.9 , 27.5 , 35.8 , 38.9 , 31.3 
2015, 32.0 , 31.0 , 30.0 , 30.1 , 33.7 , 27.6 , 31.6 , 39.5 , 31.3 
2016, 32.5 , 31.9 , 30.2 , 31.3 , 33.8 , 29.6 , 34.1 , 39.6 , 31.9 
2017, 33.3 , 32.7 , 31.5 , 30.0 , 35.9 , 30.7 , 34.5 , 40.5 , 32.9 
2018, 35.4 , 34.0 , 32.7 , 31.9 , 37.3 , 31.3 , 36.1 , 42.1 , 34.5 
2019, 36.7 , 35.2 , 33.8 , 33.3 , 38.0 , 35.1 , 36.5 , 42.8 , 35.7 
2020, 38.7 , 39.5 , 35.4 , 34.5 , 42.0 , 35.3 , 38.3 , 47.1 , 38.5 
2021, 40.8 , 39.5 , 37.5 , 37.5 , 40.5 , 35.0 , 41.1 , 50.2 , 39.6 
Part-time in main job,,,,,,,,,
2004, 16.7 , 16.7 , 15.9 , 16.7 , 15.3 , 16.7 , 17.6 , 17.8 , 16.4 
2005, 17.5 , 17.0 , 16.5 , 17.4 , 16.7 , 17.1 , 16.9 , 18.2 , 17.0 
2006, 18.2 , 18.0 , 16.9 , 17.6 , 16.9 , 17.1 , 17.8 , 18.8 , 17.6 
2007, 18.8 , 18.5 , 18.0 , 18.3 , 18.2 , 18.3 , 20.0 , 20.1 , 18.5 
2008, 20.0 , 19.2 , 19.2 , 20.0 , 20.0 , 19.5 , 18.4 , 20.9 , 19.6 
2009, 20.0 , 20.0 , 19.6 , 20.0 , 20.0 , 20.0 , 20.8 , 20.3 , 20.0 
2010, 21.0 , 20.2 , 20.3 , 21.0 , 21.1 , 21.0 , 22.5 , 22.7 , 20.8 
2011, 21.4 , 21.3 , 21.2 , 21.7 , 21.3 , 21.2 , 21.4 , 25.0 , 21.4 
2012, 22.3 , 22.1 , 21.9 , 22.5 , 23.1 , 22.2 , 24.0 , 23.0 , 22.3 
2013, 22.8 , 22.5 , 23.0 , 23.4 , 23.0 , 22.6 , 24.2 , 25.5 , 22.9 
2014, 24.2 , 24.0 , 23.7 , 23.3 , 25.0 , 23.5 , 25.0 , 27.4 , 24.0 
2015, 24.2 , 25.0 , 24.5 , 25.0 , 25.0 , 24.2 , 24.8 , 25.7 , 25.0 
2016, 25.0 , 25.0 , 25.0 , 24.9 , 25.0 , 25.0 , 25.0 , 28.5 , 25.0 
2017, 25.0 , 26.0 , 25.7 , 25.9 , 26.6 , 26.1 , 25.0 , 29.3 , 25.8 
2018, 26.7 , 27.3 , 25.4 , 26.7 , 27.1 , 27.3 , 25.4 , 28.6 , 26.7 
2019, 28.0 , 27.7 , 28.0 , 27.8 , 29.6 , 28.0 , 29.5 , 31.3 , 28.0 
2020, 30.6 , 32.4 , 30.1 , 30.0 , 31.8 , 31.7 , 31.3 , 32.6 , 31.2 
2021, 30.4 , 30.4 , 29.1 , 30.5 , 30.0 , 29.6 , 30.0 , 34.2 , 30.0 
Total,,,,,,,,,
2004, 19.5 , 19.0 , 17.5 , 18.3 , 18.0 , 18.1 , 20.3 , 22.8 , 18.8 
2005, 20.0 , 20.0 , 18.8 , 19.1 , 19.4 , 18.5 , 20.0 , 23.6 , 19.7 
2006, 21.1 , 20.2 , 19.5 , 19.8 , 20.0 , 19.0 , 21.1 , 25.0 , 20.1 
2007, 21.7 , 21.4 , 20.5 , 20.6 , 21.4 , 19.8 , 23.6 , 28.2 , 21.3 
2008, 23.3 , 22.2 , 22.0 , 21.2 , 23.6 , 21.0 , 23.8 , 27.9 , 22.5 
2009, 23.7 , 22.8 , 22.5 , 22.5 , 24.3 , 22.3 , 26.3 , 30.0 , 23.3 
2010, 25.0 , 23.8 , 23.6 , 23.3 , 26.2 , 22.7 , 26.3 , 29.9 , 24.4 
2011, 25.0 , 25.0 , 25.0 , 24.6 , 26.3 , 23.5 , 26.5 , 30.7 , 25.0 
2012, 26.3 , 25.1 , 25.4 , 25.0 , 28.3 , 25.0 , 28.6 , 32.3 , 26.3 
2013, 26.5 , 25.5 , 25.9 , 25.7 , 28.8 , 25.0 , 30.2 , 33.4 , 26.3 
2014, 29.0 , 27.7 , 27.5 , 26.5 , 31.3 , 25.7 , 33.7 , 36.8 , 28.6 
2015, 29.2 , 28.6 , 27.6 , 28.1 , 31.0 , 26.2 , 30.2 , 37.1 , 28.8 
2016, 30.0 , 29.0 , 28.3 , 28.5 , 30.9 , 27.1 , 32.5 , 36.6 , 29.6 
2017, 30.0 , 30.0 , 29.3 , 28.6 , 32.1 , 28.3 , 32.5 , 37.5 , 30.0 
2018, 31.7 , 31.4 , 30.0 , 30.0 , 33.3 , 30.0 , 33.3 , 38.3 , 31.3 
