            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.3 Employees by sex, state and full-time or part-time status, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,'000,'000,'000,'000,'000,'000,'000,'000,'000
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2004," 1,753.9 "," 1,326.8 "," 1,029.7 ", 379.8 , 502.1 , 116.8 , 61.5 , 113.6 ," 5,284.3 "
2005," 1,798.1 "," 1,379.0 "," 1,079.6 ", 406.0 , 551.1 , 119.6 , 56.0 , 117.9 ," 5,507.4 "
2006," 1,854.3 "," 1,398.7 "," 1,135.5 ", 413.4 , 592.0 , 121.2 , 60.6 , 126.7 ," 5,702.3 "
2007," 1,898.5 "," 1,476.2 "," 1,190.1 ", 409.9 , 621.8 , 126.2 , 55.6 , 129.3 ," 5,907.7 "
2008," 1,971.8 "," 1,479.5 "," 1,220.3 ", 433.9 , 682.5 , 133.6 , 65.2 , 131.3 ," 6,118.1 "
2009," 1,930.1 "," 1,474.0 "," 1,261.6 ", 407.4 , 656.0 , 128.0 , 79.2 , 130.3 ," 6,066.7 "
2010," 1,943.9 "," 1,523.7 "," 1,276.1 ", 429.6 , 695.3 , 121.5 , 80.9 , 132.6 ," 6,203.5 "
2011," 1,987.9 "," 1,572.5 "," 1,290.1 ", 436.4 , 715.8 , 126.6 , 77.2 , 136.3 ," 6,342.7 "
2012," 2,019.7 "," 1,581.8 "," 1,334.5 ", 429.4 , 782.8 , 121.0 , 87.9 , 141.3 ," 6,498.3 "
2013," 2,051.2 "," 1,544.6 "," 1,333.0 ", 431.2 , 780.8 , 120.3 , 92.2 , 139.6 ," 6,493.0 "
2014," 2,078.0 "," 1,567.1 "," 1,319.5 ", 434.9 , 762.7 , 124.3 , 90.8 , 138.3 ," 6,515.7 "
2015," 2,144.4 "," 1,575.9 "," 1,336.6 ", 425.1 , 752.8 , 127.8 , 94.8 , 134.7 ," 6,592.1 "
2016," 2,162.7 "," 1,677.5 "," 1,334.8 ", 421.0 , 717.6 , 126.9 , 89.3 , 144.3 ," 6,674.1 "
